rank,name,sale_price,base_price,discount_rate,unit_price,rating,rating_count,rocket,benefit_text,product_url,image_url
15,"메가도스 비타민C 3000mg, 180g, 2개",36760,40800.0,9.0,"(10g당 1,021원)",5.0,37099,True,"최대 1,838원 적립",https://www.coupang.com/vp/products/46208003?itemId=19421891658&vendorItemId=86533350979&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5613111831968890-c3dc7a2c-666b-4806-8e27-002723749c05.jpg
16,"뉴트리가든 비타민D3 5000IU, 180정, 1개",11900,19800.0,39.0,(1정당 66원),5.0,33847,True,최대 565원 적립,https://www.coupang.com/vp/products/54637103?itemId=190624970&vendorItemId=3452143533&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1766691440157263-f343eff2-a7cd-418d-a7d4-543871e32b9b.jpg
17,"락토핏 다이어트 유산균 60p, 120g, 1개",13500,25900.0,47.0,"(10g당 1,125원)",4.5,2033,True,최대 675원 적립,https://www.coupang.com/vp/products/7956476557?itemId=21983529029&vendorItemId=91737207467&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/01/08/11/2/a35ab0df-94b5-4a99-8d20-6bd818d0d55b.jpg
18,"종근당건강 원데이21 멀티비타민 & 미네랄, 60정, 2개",19900,41800.0,52.0,(1정당 166원),5.0,51384,True,최대 995원 적립,https://www.coupang.com/vp/products/7735337888?itemId=21135423313&vendorItemId=4417937649&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3469569059260667-e1138de9-2f67-49a0-afb4-9bd881723164.jpg
19,"프로메가 오메가3 트리플, 60정, 3개",30920,62700.0,50.0,(1정당 172원),5.0,96765,True,"최대 1,546원 적립",https://www.coupang.com/vp/products/6586372374?itemId=19081002565&vendorItemId=86203376145&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/592629400683873-4c8d2c00-b689-4bb5-897a-a953e48ca704.jpg
20,"락토핏 종근당건강 코어 유산균 60p, 120g, 3개",33670,58400.0,42.0,(10g당 935원),5.0,62128,True,"최대 1,684원 적립",https://www.coupang.com/vp/products/5498533952?itemId=16458772581&vendorItemId=91202301188&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/251940562359003-5af8f6c0-f265-4852-8d09-c71320200b99.jpg
21,"그린몬스터 다이어트 스페셜 2 가르시니아 900, 112정, 1개",12700,32000.0,60.0,(1정당 113원),4.5,38597,True,최대 635원 적립,https://www.coupang.com/vp/products/6807918291?itemId=24020097347&vendorItemId=3028473540&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1061053623072212-35eeda7e-12ae-4c99-82cd-dd6e8da389b3.jpg
22,"종근당 관절연골엔 뮤코다당단백 콘드로이친 1200 플러스, 60정, 2개",34320,60000.0,42.0,(1정당 286원),5.0,2525,True,"최대 1,716원 적립",https://www.coupang.com/vp/products/7956783044?itemId=22108919872&vendorItemId=90051222320&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/58034041556703-7897bd34-35df-4169-9fa8-d892819f283b.jpg
23,"얼라이브 원스데일리 포 맨 멀티비타민, 80정, 1개",29160,46600.0,37.0,(1정당 365원),5.0,54552,True,"최대 1,458원 적립",https://www.coupang.com/vp/products/7460287402?itemId=20000650509&vendorItemId=81352051865&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3411890141803804-52ed6ff0-6d60-4fee-918b-8e29a40e9460.jpg
24,"락토핏 골드 80포, 160g, 3개",48900,85500.0,42.0,"(10g당 1,019원)",5.0,210443,True,"최대 2,445원 적립",https://www.coupang.com/vp/products/7458810098?itemId=19378973001&vendorItemId=4635121437&sourceType=CAMPAIGN&campaignId=6585&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/68b4/d835c3cb043d25624571d3edc0c27f8b348ffce42f9828e8b1149d3aa3ea.jpg
