product_id,rank,name,sale_price,base_price,discount_rate(%),discount_type,rocket_type,arrival_msg,free_shipping,cashback_msg,card_discount_msg,benefit_badges,rating,rating_count,product_url,image_url
92633451002,,"WAPIK 블루투스 통화 스마트워치 Z8 초등학생 어린이시계 한글판 GPS, 화이트, 4.8cm, GPS + 블루투스",22900,69900.0,67.0,할인,로켓배송,내일(화) 도착 보장,False,"최대 1,145원 적립",,"최대 1,145원 적립",5.0,2702,https://www.coupang.com/vp/products/8428714751?itemId=24383098639&vendorItemId=92633451002&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=25&rank=25,https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/291b/84489caccc0ddfa071f7b6809f59a0a1062437549d458218453af24bb16a.jpg
90492758645,,"누아트 변색없는 갤럭시 워치 풀커버 하드 케이스 2종 세트, 실버+투명, 2개",9400,34000.0,72.0,,로켓배송,내일(화) 도착 보장,False,최대 470원 적립,,최대 470원 적립,4.5,9810,https://www.coupang.com/vp/products/6410664896?itemId=23466172154&vendorItemId=90492758645&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=26&rank=26,https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/rs_quotation_api/wdcogtle/518a56e7f5234500bb9516fd22663bdd.jpg
85937304923,,"리빙리바르 갤럭시워치 워치5 워치4 호환 메탈 스트랩 풀커버 하드케이스 세트 40 44 mm 프리미엄 시계줄 밴드 20mm, 44mm, 3. 스타라이트",15000,19800.0,24.0,,로켓배송,내일(화) 도착 보장,False,최대 750원 적립,,최대 750원 적립,4.5,1759,https://www.coupang.com/vp/products/7327753754?itemId=18806669892&vendorItemId=85937304923&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=27&rank=27,https://thumbnail9.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/04c3/d26a50a0ef3f32bd9e61dd8e2b837a6ad4731a44bd7b748cd2acb4ed8234.jpg
78489146991,,"신지모루 애플워치 호환 경량 스포츠 스트랩 밴드, 베이비핑크, 1개",8900,39900.0,77.0,,로켓배송,내일(화) 도착 보장,False,최대 445원 적립,,최대 445원 적립,5.0,10331,https://www.coupang.com/vp/products/8549397056?itemId=13295795947&vendorItemId=78489146991&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=28&rank=28,https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/641163286137587-eaf67653-0576-48cb-948d-db2b0cadaaac.jpg
70453957179,,"디씨네트워크 애플워치호환 밀레니즈 밴드 스트랩, 실버",7400,8630.0,14.0,,로켓배송,내일(화) 도착 보장,False,최대 333원 적립,,최대 333원 적립,4.5,22754,https://www.coupang.com/vp/products/1421838224?itemId=2460443842&vendorItemId=70453957179&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=29&rank=29,https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/56c3/95680b5476fab22bcde11c4263a19c17477d7bbf659e89b9d9ee15c4d161.jpg
90774951755,,"모잇 애플워치 전기종 호환 무선 충전기 C타입 (Ultra 10 9 8 7 6 SE SE2 5 4 3 2 1), 1.5m, 화이트, 1개",6990,20000.0,65.0,,로켓배송,내일(화) 도착 보장,False,최대 325원 적립,,최대 325원 적립,4.5,1856,https://www.coupang.com/vp/products/7173083532?itemId=23750435195&vendorItemId=90774951755&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=30&rank=30,https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/540121736819537-7f5fb3b6-8abc-4d1a-958e-11ce9d898bae.png
87010049310,,"로랜텍 갤럭시워치 풀커버 호환 액정보호필름 강화유리, 2개",5230,8720.0,40.0,,로켓배송,내일(화) 도착 보장,False,최대 261원 적립,,최대 261원 적립,5.0,30974,https://www.coupang.com/vp/products/1948066458?itemId=19611228838&vendorItemId=87010049310&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=31&rank=31,https://thumbnail10.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/1304811210854613-f20aa136-bc5f-4d75-a241-9c12f1e38f59.jpg
92173179673,,"샤오미 레드미 워치 5, 옵시디안블랙, 47.5mm, GPS + 블루투스",318130,,,,,모레(수) 도착 예정,True,"최대 15,906원 적립",,"최대 15,906원 적립",5.0,910,https://www.coupang.com/vp/products/8538118519?itemId=24717812225&vendorItemId=92173179673&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=32&rank=32,https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/f9cd/a13689b33a89afea69eb0bcc67ea35c421d3ecdf9e7f0485b33216b16a5c.png
78489146962,,"신지모루 애플워치 호환 밀레니즈 스트랩 밴드, 블랙",9730,44900.0,78.0,,로켓배송,내일(화) 도착 보장,False,최대 486원 적립,,최대 486원 적립,4.5,29011,https://www.coupang.com/vp/products/6287145447?itemId=14786146461&vendorItemId=78489146962&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=33&rank=33,https://thumbnail6.coupangcdn.com/thumbnails/remote/320x320ex/image/1025_amir_coupang_oct_80k/2ff1/30e694e3418a34a88e79db39e38aff8dbcd881a43b80e04603ad5e011f5a.jpg
91605464897,,"샤오미 레드미 워치 5 액티브, 미드나잇블랙, 49.1mm, 블루투스",49800,,,,로켓배송,내일(화) 도착 보장,False,"최대 2,340원 적립",,"최대 2,340원 적립",5.0,296,https://www.coupang.com/vp/products/8500395232?itemId=25176448799&vendorItemId=91605464897&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=34&rank=34,https://thumbnail7.coupangcdn.com/thumbnails/remote/320x320ex/image/retail/images/2024/12/09/10/9/d99bb62a-1af5-4c55-9bff-588f9dfab551.png
87224456699,,"Apple 정품 마그네틱 급속 충전기 USB-C 케이블 1m, 화이트",43650,45000.0,3.0,,로켓배송,내일(화) 도착 보장,False,"최대 2,183원 적립",최대 3% 카드 즉시할인,"최대 3% 카드 즉시할인; 최대 2,183원 적립",5.0,305,https://www.coupang.com/vp/products/7605651029?itemId=20130420755&vendorItemId=87224456699&q=스마트워치&searchId=6e2891a61782031&sourceType=search&itemsCount=36&searchRank=35&rank=35,https://thumbnail8.coupangcdn.com/thumbnails/remote/320x320ex/image/vendor_inventory/5ef7/2f042bbefb5d619c125c6ad88f65a629838b71f526be94b5a023e2507bd5.jpg
