name,price,original_price,discount_percentage,rating,review_count,product_url,image_url,rank,is_best,delivery_info
AURA 아우라 ECO 친환경 빅에그 방향제 복숭아 440ml,9950,10550,5,4.69,399,https://brand.naver.com/lgcaremall/products/342786575,https://shop-phinf.pstatic.net/20221109_52/1667961008476mpqL9_JPEG/69096907131524016_719278902.jpg?type=f296_296,791,False,네이버 내일배송7. 22.(화) 도착
엘라스틴 아미노펩타이드 약산성 단백질 샴푸 페어프리지아향 950ml 2개,26900,45400,40,4.83,12,https://brand.naver.com/lgcaremall/products/11557898319,https://shop-phinf.pstatic.net/20250311_41/1741659046814aaWOn_JPEG/10167063801782841_921326485.jpg?type=f296_296,792,False,네이버 내일배송7. 22.(화) 도착
엘라스틴 오가니스트 클리니컬 솔루션 가려운 두피용 660ml 3개,26900,54900,51,4.67,3,https://brand.naver.com/lgcaremall/products/11557808723,https://shop-phinf.pstatic.net/20250311_279/1741658840142DLNQE_JPEG/75791701270404191_238609726.jpg?type=f296_296,793,False,네이버 내일배송7. 22.(화) 도착
히말라야 핑크솔트 센서티브 치약 100g 3개(후레쉬),13900,15900,12,4.74,54,https://brand.naver.com/lgcaremall/products/10169338180,https://shop-phinf.pstatic.net/20240405_191/1712295844615TA7A6_JPEG/113431743295990351_1274659701.jpg?type=f296_296,794,False,네이버 내일배송7. 22.(화) 도착
테크 실내건조 액체세제 3L 막캡 일반 용기 3L 2개,17900,22900,21,4.9,41,https://brand.naver.com/lgcaremall/products/9950951530,https://shop-phinf.pstatic.net/20240215_297/1707984702015ML5X9_JPEG/109120590705797704_586592228.jpg?type=f296_296,795,False,네이버 내일배송7. 22.(화) 도착
펌핑치약 시트러스 285g 3개,20700,,,4.89,339,https://brand.naver.com/lgcaremall/products/9096710331,https://shop-phinf.pstatic.net/20250214_260/1739501211517AQ3pM_JPEG/15903665648448667_2041011185.jpg?type=f296_296,796,False,네이버 내일배송7. 22.(화) 도착
쉬크 인튜이션 제모 기획팩 핸들1개+날4입(내추럴)+특별증정(눈썹칼4입),19900,24900,20,4.87,258,https://brand.naver.com/lgcaremall/products/4956251414,https://shop-phinf.pstatic.net/20240513_265/1715584077234FXU0d_JPEG/116719975927993830_1757159941.jpg?type=f296_296,797,False,네이버 내일배송7. 22.(화) 도착
쉬크 하이드로 실크 휴대용여성제모기 2입,8900,11900,25,4.82,39,https://brand.naver.com/lgcaremall/products/4607943813,https://shop-phinf.pstatic.net/20240513_295/171557640318081naH_JPEG/116712298899097375_1695017811.jpg?type=f296_296,798,False,네이버 내일배송7. 22.(화) 도착
아우라 프라몬 섬유탈취제 로즈머스크 140ml 3개,14900,19900,25,4.64,22,https://brand.naver.com/lgcaremall/products/10332560963,https://shop-phinf.pstatic.net/20240516_132/1715826833378Jj8Ab_JPEG/116962676077069378_207793916.jpg?type=f296_296,799,False,네이버 내일배송7. 22.(화) 도착
샤프란 블루 3.1L 용기,4750,,,4.73,11,https://brand.naver.com/lgcaremall/products/10165849434,https://shop-phinf.pstatic.net/20240404_29/1712226318075uOBLm_JPEG/39529001946733754_120416530.jpg?type=f296_296,800,False,네이버 내일배송7. 22.(화) 도착
[대용량]온더바디 플로럴가든 바디워시 950g 3개(자스민 향),21900,25700,14,4.92,38,https://brand.naver.com/lgcaremall/products/10103150129,https://shop-phinf.pstatic.net/20240321_129/17109939479190m93l_JPEG/112129727632980318_1764090858.jpg?type=f296_296,801,False,네이버 내일배송7. 22.(화) 도착
페리오 트리플액션 미세모 칫솔 6입 2개,11900,14000,15,4.68,37,https://brand.naver.com/lgcaremall/products/9718331466,https://shop-phinf.pstatic.net/20240104_13/1704347024548sIj2A_JPEG/105482808254541265_1233732991.jpg?type=f296_296,802,False,네이버 내일배송7. 22.(화) 도착
