name,price,rating,review_count,discount_percentage,image_url,product_url,rank
"샤프란 섬유유연제 릴렉싱 아로마 리필, 2.1L, 2개",5640,5.0,22579,19,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/337930726603266-d00fa3fb-865a-46a5-94da-6e646460dcd1.jpg,https://www.coupang.com/vp/products/8802015339?itemId=496033769&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88378499689&wPcid=48736601055732509002366,11
"홈스타 락스와세제 후로랄파인, 750ml, 4개",10080,5.0,42542,63,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/59690156038916-b235548a-bc6e-4cdd-b224-ebf80a26f985.png,https://www.coupang.com/vp/products/1257264889?itemId=2386735260&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446291299&wPcid=48736601055732509002366,12
"한입 100% 과탄산소다, 1kg, 1개",6500,4.5,18714,34,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/186479688290963-097155fa-f7c1-4c81-835c-712941dcc3e6.jpg,https://www.coupang.com/vp/products/7375003964?itemId=94551&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88385951540&wPcid=48736601055732509002366,13
"홈스타 맥스 싱크대 배수관 클리너, 680ml, 1세트",5120,4.5,16421,47,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/57e1/005bfe2c381afdc9f1de414fe82849c860484dee5eda630623d20eae08b6.jpg,https://www.coupang.com/vp/products/6760880009?itemId=4643121&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446199085&wPcid=48736601055732509002366,14
"홈스타 바르는 곰팡이 싹 세정제, 120ml, 2개",5900,4.5,25911,44,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/262619396984863-2cfb92cf-2981-4093-b668-9d5fe60a7908.jpg,https://www.coupang.com/vp/products/7506301128?itemId=311786964&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446291648&wPcid=48736601055732509002366,15
"쏘피 안심숙면팬티 입는 생리대, 대형, 5개입, 5개",18810,5.0,35243,45,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/380596978670264-faaa6d10-ac48-4185-9362-afe264b4b557.jpg,https://www.coupang.com/vp/products/333931083?itemId=19390856548&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=90977488935&wPcid=48736601055732509002366,16
"실크테라피 오리지널 라이트 헤어에센스, 130ml, 1개",14170,5.0,7174,45,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/6d4a/c6f61093757ac2eb899cfe679ad3f3f2b81b629a7006828d2cc877a38fa8.jpg,https://www.coupang.com/vp/products/7589619121?itemId=20104600347&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88331114454&wPcid=48736601055732509002366,17
"[비건라이프] 한입 베이킹소다 알파, 2kg, 1개",6950,4.5,32219,29,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/01/12/10/4/4eeecbe6-48e5-463f-a621-3d1b7740f0c3.jpg,https://www.coupang.com/vp/products/6596056165?itemId=132235438&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88353424154&wPcid=48736601055732509002366,18
"홈스타 맥스 싱크대 배수관 클리너, 680ml, 2세트",9930,4.5,16421,49,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/723410836873284-7a550859-c913-444f-9a36-77d44c62228d.jpg,https://www.coupang.com/vp/products/6760880009?itemId=6029810&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446291577&wPcid=48736601055732509002366,19
"홈스타 핑크파워 욕실 찌든때 클리너, 750ml, 1개",6450,4.5,2854,40,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1855687906293275-f6b98d3a-6aef-4a28-ae54-030edf10f68c.png,https://www.coupang.com/vp/products/8165713116?itemId=21881116792&lptag=A00344675&redirect=landing&searchId=83b4ef9b3690455e9cc7a44e4466b903&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88929206097&wPcid=48736601055732509002366,20
"아우라 초고농축 섬유유연제 윌유메리미 로즈워터 앤 프리지아 향 리필, 2개, 1.7L",10420,5.0,21381,30,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bfcf/6ac7b1cbd723b67735a943e6b39224f634759df3ef6170dd2548bd5cfb8c.jpg,https://www.coupang.com/vp/products/8414505637?itemId=11184948413&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88356449815&wPcid=48736601055732509002366,21
"에프킬라 수성 에어로졸 모기 살충제 무향, 600ml, 4개",13300,4.5,24558,25,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/125777288442699-8034f9f5-7bb1-4c8c-b4a8-0864b3d3aa84.jpg,https://www.coupang.com/vp/products/7311837070?itemId=18111613212&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=90530200738&wPcid=48736601055732509002366,22
"홈스타 퍼펙트 세탁조 클리너, 450ml, 1개",3830,4.5,16502,35,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/5dc7/6e320c707729cc4efdd77f188f8e179ea20d06c821e51ae87ff0a2134388.jpg,https://www.coupang.com/vp/products/6939161968?itemId=16820812838&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446199033&wPcid=48736601055732509002366,23
"피지 모락셀라 냄새제거 부스터 캡슐 26개입, 468g, 1개",14450,5.0,2711,48,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/715508505508164-a7e0db59-b2a7-4073-a3d6-d110296c2268.jpg,https://www.coupang.com/vp/products/8252830879?itemId=23762433681&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=90674830740&wPcid=48736601055732509002366,24
"홈스타 락스와세제 후로랄파인, 750ml, 2개",5540,5.0,42542,59,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/72138801710634-ba8a5e29-208c-4ef1-8126-583730bc0b37.png,https://www.coupang.com/vp/products/1257264889?itemId=6869924&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446291210&wPcid=48736601055732509002366,25
"홈스타 맥스 욕실바닥 하수구 클리너, 2개",9760,5.0,7140,50,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/115738031086115-8ad315d8-b2a6-4a49-ab57-77334e8b0b9b.jpg,https://www.coupang.com/vp/products/7201455538?itemId=8533689759&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88386127117&wPcid=48736601055732509002366,26
"퐁퐁 베이킹소다 주방세제 깔끔한 민트향 리필형, 1.2L, 4개",10440,4.5,37811,55,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/949730385920257-34feee4f-f07a-442f-a92f-7ba4d4d42ccc.jpg,https://www.coupang.com/vp/products/4691734596?itemId=19382646561&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88353438283&wPcid=48736601055732509002366,27
"한입 100% 구연산, 1kg, 1개",6950,5.0,8446,29,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4870385372803-ffeb65fb-ace5-40d3-9538-dc13bd31edbd.jpg,https://www.coupang.com/vp/products/3158754?itemId=94554&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88385951522&wPcid=48736601055732509002366,28
"히말라야핑크솔트 담은 바이옴 구취억제 치약, 100g, 6개",13700,5.0,5915,56,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/173252270199226-a571ebba-a899-45c7-b507-0fdc11575678.jpg,https://www.coupang.com/vp/products/5072232572?itemId=6866091760&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88528823225&wPcid=48736601055732509002366,29
"리엔 흑모비책 새치염색 크림, 흑갈색, 2개",9380,4.5,43764,60,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/e9f3/8001f31417be0f6df23a4d3f8c91a4245b7d8233bdb5c201fd238d3bcee4.jpg,https://www.coupang.com/vp/products/307154735?itemId=968496630&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88353881190&wPcid=48736601055732509002366,30
"쏘피 한결 생리대 날개형, 슈퍼롱, 20개입, 3개",15840,5.0,36872,40,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/415516576375024-cc158724-f436-4ceb-8716-e0c4598e79ef.png,https://www.coupang.com/vp/products/5381819004?itemId=23951985016&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=90973668853&wPcid=48736601055732509002366,31
"샤프란 플러스 섬유유연제 릴렉싱아로마 본품, 3.1L, 4개",15800,4.5,31876,19,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1853273523408052-44a9d375-bd0b-4041-bbd1-bb7f756b81ee.jpg,https://www.coupang.com/vp/products/11906922?itemId=25063509903&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88378499232&wPcid=48736601055732509002366,32
"홈스타 맥스 세면대 배수관 클리너, 230ml, 2개",9290,5.0,12797,52,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/210127485350313-396679cb-1d58-4aaa-a638-112c982c434f.jpg,https://www.coupang.com/vp/products/6869411445?itemId=550019781&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88446290932&wPcid=48736601055732509002366,33
"쏘피 쿨링 프레쉬 날개형 생리대, 중형, 32개입, 1세트",8420,5.0,4660,50,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/964701208177084-0b1bdcef-7b28-4259-9931-942ff6a0a501.jpg,https://www.coupang.com/vp/products/8131142817?itemId=25049435084&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=92053914351&wPcid=48736601055732509002366,34
"홈스타 세탁조 클리너 버블워시 드럼겸용 2포, 200g, 1개",4270,4.5,13665,27,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d5ab/7daa2c2303cb7268ea884cc806080d43dbabf2307afd5c375a13de958dc5.jpg,https://www.coupang.com/vp/products/12738?itemId=21317379226&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88376795578&wPcid=48736601055732509002366,35
"온더바디 코튼풋 발을 씻자 풋샴푸 리필팩 자몽민트향, 1개입, 2개, 500ml",10560,5.0,3056,55,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1667536271693040-c0efc683-c6aa-4aaf-bc56-83c728a62dce.jpg,https://www.coupang.com/vp/products/7612952750?itemId=20166701369&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=88458027849&wPcid=48736601055732509002366,36
"홈스타 맥스프레쉬 뿌리는 곰팡이 싹 세정제, 900ml, 2개",6880,4.5,25539,54,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5374392178645-c9f0c75d-89c0-4080-b409-d4c8908d2ab1.jpg,https://www.coupang.com/vp/products/106486626?itemId=22684893308&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=91309121025&wPcid=48736601055732509002366,37
"바디피트 볼록맞춤 슈퍼롱 생리대 날개형, 오버나이트 이상, 20개입, 3개",16350,5.0,54794,44,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/918a/2b1418493218bf1f1088aaf7ac772dfadffa0a99be6440e7e4cb2296302f.jpg,https://www.coupang.com/vp/products/1353030?itemId=23952031245&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=90973714339&wPcid=48736601055732509002366,38
"엘라스틴 프로틴 클리닉 10000 고영양 단백질 트리트먼트, 1L, 1개",13200,5.0,8706,55,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/73ae/497b4f868a2074dd03492e3b52ed0661abacc4bee21f2d931fc5a821bc1b.jpg,https://www.coupang.com/vp/products/6183362397?itemId=24526186997&lptag=A00344675&redirect=landing&searchId=95c4de2c411e4288955d737e5bbabbf9&sourceType=brandstore-all_products&spec=10799999&src=1139998&storeId=346&subSourceType=brandstore-all_products&vendorId=A00344675&vendorItemId=91538851824&wPcid=48736601055732509002366,39
